Record ID,Original Traffic Source,Lead Status,Associated Note,intent_score
159876000000.0,Organic Search,Unqualified,Note redacted for privacy compliance,0.0
159727000000.0,Offline Sources,Attempted to Contact,Note redacted for privacy compliance,0.0
159727000000.0,Offline Sources,Unqualified,Note redacted for privacy compliance,0.0
159727000000.0,Offline Sources,Unqualified,Note redacted for privacy compliance,0.0
159855000000.0,Paid Search,Unqualified,Note redacted for privacy compliance,0.0
159857000000.0,Paid Search,Attempted to Contact,Note redacted for privacy compliance,0.0
159727000000.0,Offline Sources,Attempted to Contact,Note redacted for privacy compliance,0.0
159677000000.0,Offline Sources,Unqualified,Note redacted for privacy compliance,0.0
159727000000.0,Offline Sources,Unqualified,Note redacted for privacy compliance,0.0
158484000000.0,Offline Sources,Attempted to Contact,Note redacted for privacy compliance,0.0
158299000000.0,Direct Traffic,,Note redacted for privacy compliance,0.0
158515000000.0,Paid Search,In Progress,Note redacted for privacy compliance,0.0
156555000000.0,Direct Traffic,Attempted to Contact,Note redacted for privacy compliance,0.0
156546000000.0,Direct Traffic,Attempted to Contact,Note redacted for privacy compliance,0.0
156524000000.0,Direct Traffic,,Note redacted for privacy compliance,0.0
156511000000.0,Direct Traffic,,Note redacted for privacy compliance,0.0
156474000000.0,Offline Sources,In Progress,Note redacted for privacy compliance,0.0
156410000000.0,Offline Sources,Connected,Note redacted for privacy compliance,0.0
156409000000.0,Offline Sources,Connected,Note redacted for privacy compliance,0.0
156388000000.0,Offline Sources,Attempted to Contact,Note redacted for privacy compliance,0.0
156410000000.0,Offline Sources,Attempted to Contact,Note redacted for privacy compliance,0.0
155864000000.0,Offline Sources,Unqualified,Note redacted for privacy compliance,0.0
156386000000.0,Offline Sources,Unqualified,Note redacted for privacy compliance,0.0
156364000000.0,Paid Search,Unqualified,Note redacted for privacy compliance,0.0
156323000000.0,Paid Search,Attempted to Contact,Note redacted for privacy compliance,0.0
156303000000.0,Paid Search,Attempted to Contact,Note redacted for privacy compliance,0.0
156322000000.0,Organic Search,Unqualified,Note redacted for privacy compliance,0.0
156300000000.0,Direct Traffic,Attempted to Contact,Note redacted for privacy compliance,0.0
156321000000.0,Direct Traffic,Unqualified,Note redacted for privacy compliance,0.0
156320000000.0,Paid Search,Attempted to Contact,Note redacted for privacy compliance,0.0
156318000000.0,Direct Traffic,Unqualified,Note redacted for privacy compliance,0.0
156295000000.0,Direct Traffic,Unqualified,Note redacted for privacy compliance,0.0
156259000000.0,Organic Search,Unqualified,Note redacted for privacy compliance,0.0
156229000000.0,Paid Search,Attempted to Contact,Note redacted for privacy compliance,0.0
156192000000.0,Offline Sources,Connected,Note redacted for privacy compliance,0.0
156189000000.0,Offline Sources,Connected,Note redacted for privacy compliance,0.0
156186000000.0,Offline Sources,Unqualified,Note redacted for privacy compliance,0.0
156181000000.0,Offline Sources,Connected,Note redacted for privacy compliance,0.0
156542000000.0,Paid Search,Unqualified,Note redacted for privacy compliance,0.0
156583000000.0,Paid Search,Unqualified,Note redacted for privacy compliance,0.0
158320000000.0,Paid Search,,Note redacted for privacy compliance,0.0
156593000000.0,Paid Search,Attempted to Contact,Note redacted for privacy compliance,0.0
156888000000.0,Direct Traffic,Unqualified,Note redacted for privacy compliance,0.0
156883000000.0,Direct Traffic,Attempted to Contact,Note redacted for privacy compliance,0.0
156888000000.0,Direct Traffic,,Note redacted for privacy compliance,0.0
156881000000.0,Paid Search,Unqualified,Note redacted for privacy compliance,0.0
156826000000.0,Direct Traffic,Unqualified,Note redacted for privacy compliance,0.0
156877000000.0,Direct Traffic,Attempted to Contact,Note redacted for privacy compliance,0.0
156856000000.0,Direct Traffic,Unqualified,Note redacted for privacy compliance,0.0
156809000000.0,Direct Traffic,Unqualified,Note redacted for privacy compliance,0.0
156808000000.0,Direct Traffic,Attempted to Contact,Note redacted for privacy compliance,0.0
156767000000.0,Paid Search,Attempted to Contact,Note redacted for privacy compliance,0.0
156701000000.0,Offline Sources,Attempted to Contact,Note redacted for privacy compliance,0.0
156701000000.0,Offline Sources,Attempted to Contact,Note redacted for privacy compliance,0.0
156701000000.0,Offline Sources,Connected,Note redacted for privacy compliance,0.0
156701000000.0,Offline Sources,Attempted to Contact,Note redacted for privacy compliance,0.0
156704000000.0,Paid Search,In Progress,Note redacted for privacy compliance,0.0
156704000000.0,Paid Search,In Progress,Note redacted for privacy compliance,0.0
156694000000.0,Paid Search,In Progress,Note redacted for privacy compliance,0.0
156672000000.0,Offline Sources,Connected,Note redacted for privacy compliance,0.0
156651000000.0,Paid Search,In Progress,Note redacted for privacy compliance,0.0
156626000000.0,Direct Traffic,In Progress,Note redacted for privacy compliance,0.0
156611000000.0,Direct Traffic,In Progress,Note redacted for privacy compliance,0.0
156595000000.0,Paid Search,In Progress,Note redacted for privacy compliance,0.0
156595000000.0,Paid Search,In Progress,Note redacted for privacy compliance,0.0
156595000000.0,Paid Search,Unqualified,Note redacted for privacy compliance,0.0
156582000000.0,Direct Traffic,Unqualified,Note redacted for privacy compliance,0.0
156096000000.0,Paid Search,Attempted to Contact,Note redacted for privacy compliance,0.0
156048000000.0,Paid Search,Unqualified,Note redacted for privacy compliance,0.0
156046000000.0,Paid Search,Unqualified,Note redacted for privacy compliance,0.0
155989000000.0,Direct Traffic,Unqualified,Note redacted for privacy compliance,0.0
151678000000.0,Paid Search,Unqualified,Note redacted for privacy compliance,0.0
153588000000.0,,Connected,Note redacted for privacy compliance,0.0
153428000000.0,Offline Sources,Connected,Note redacted for privacy compliance,0.0
153244000000.0,Offline Sources,Connected,Note redacted for privacy compliance,0.0
153222000000.0,Offline Sources,Connected,Note redacted for privacy compliance,0.0
153192000000.0,Offline Sources,Connected,Note redacted for privacy compliance,0.0
150249000000.0,Direct Traffic,Attempted to Contact,Note redacted for privacy compliance,0.0
152908000000.0,Offline Sources,In Progress,Note redacted for privacy compliance,0.0
152703000000.0,Offline Sources,In Progress,Note redacted for privacy compliance,0.0
152650000000.0,Paid Search,Unqualified,Note redacted for privacy compliance,0.0
152528000000.0,Direct Traffic,Unqualified,Note redacted for privacy compliance,0.0
152480000000.0,Offline Sources,Connected,Note redacted for privacy compliance,0.0
152356000000.0,Offline Sources,Unqualified,Note redacted for privacy compliance,0.0
151865000000.0,Offline Sources,Attempted to Contact,Note redacted for privacy compliance,0.0
151834000000.0,Offline Sources,,Note redacted for privacy compliance,0.0
151726000000.0,Organic Search,Attempted to Contact,Note redacted for privacy compliance,0.0
151517000000.0,Offline Sources,Connected,Note redacted for privacy compliance,0.0
150507000000.0,Offline Sources,Attempted to Contact,Note redacted for privacy compliance,0.0
150266000000.0,Offline Sources,Attempted to Contact,Note redacted for privacy compliance,0.0
150258000000.0,Organic Search,Unqualified,Note redacted for privacy compliance,0.0
150035000000.0,Organic Search,Connected,Note redacted for privacy compliance,0.0
150002000000.0,Offline Sources,Unqualified,Note redacted for privacy compliance,0.0
149905000000.0,Direct Traffic,Connected,Note redacted for privacy compliance,0.0
149728000000.0,Paid Search,Attempted to Contact,Note redacted for privacy compliance,0.0
146427000000.0,Paid Search,Attempted to Contact,Note redacted for privacy compliance,0.0
153984000000.0,Direct Traffic,Connected,Note redacted for privacy compliance,0.0
154031000000.0,Organic Search,Unqualified,Note redacted for privacy compliance,0.0
154268000000.0,Direct Traffic,Attempted to Contact,Note redacted for privacy compliance,0.0
